movie_ID,production_budget,gross_income,net_income,cost_income_ratio
tt1179933,5000000,108286422,103286422,0.046173840705531856
tt3453052,12000000,14616,-11985384,821.0180623973728
tt1413492,35000000,71118378,36118378,0.4921372081911092
tt2024544,20000000,181025343,161025343,0.1104817682903106
tt1542344,18000000,60217171,42217171,0.2989180610958957
tt2059171,4000000,47552,-3952448,84.11843876177659
tt1272878,61000000,132493015,71493015,0.46040162947458024
tt1232829,42000000,202812429,160812429,0.20708789992352983
tt2294449,50000000,331333876,281333876,0.15090518543899206
tt2304459,1000000,549185,-450815,1.8208800313191364
tt2172934,28000000,38959900,10959900,0.7186876763030706
tt1622547,28000000,40966716,12966716,0.6834816830326356
tt1253863,110000000,330780051,220780051,0.33254726114060607
tt3835080,1500000,922727,-577273,1.6256162440245057
tt0453562,31000000,97470701,66470701,0.31804429107368376
tt1335975,175000000,151716815,-23283185,1.1534647626237078
tt1486193,12000000,87793,-11912207,136.68515713097855
tt1777595,10000000,1069454,-8930546,9.350565802736723
tt1306980,8000000,41334735,33334735,0.19354182384379626
tt1484522,2500000,100280,-2399720,24.93019545273235
tt4337690,5000000,4816142,-183858,1.0381753694139417
tt6359956,28000000,127710550,99710550,0.2192457866636703
tt1554091,10000000,1884251,-8115749,5.30714856990921
tt2027265,10000000,1884251,-8115749,5.30714856990921
tt1571222,20000000,14807531,-5192469,1.3506640641171037
tt6265828,100000,2769782,2669782,0.03610392442437708
tt1606378,92000000,304249198,212249198,0.30238370587257885
tt2243537,2500000,59922558,57422558,0.041720515335810594
tt2828996,4000000,21206861,17206861,0.18861820238271002
tt2980210,35000000,11846010,-23153990,2.9545813316044813
tt2937898,20000000,8846875,-11153125,2.2606852702225364
tt1972571,15000000,36068890,21068890,0.4158708515842877
tt1179056,35000000,117729621,82729621,0.2972913673101861
tt6644200,17000000,334522294,317522294,0.05081873556684387
tt7040874,20000000,97628717,77628717,0.20485775716995236
tt3606888,8000000,17382693,9382693,0.46022788298683065
tt0763831,40000000,20790486,-19209514,1.9239569483849488
tt1268799,20000000,36265745,16265745,0.5514846034460342
tt0365907,28000000,62108587,34108587,0.4508233297917404
tt1178665,8000000,37119358,29119358,0.21552096887020514
tt1620680,103000000,133401882,30401882,0.7721030502403257
tt2321163,1900000,10137234,8237234,0.18742785260752587
tt1600195,35000000,86648359,51648359,0.4039314812644057
tt2447982,35000000,86648359,51648359,0.4039314812644057
tt1826590,13000000,50445860,37445860,0.25770201955125754
tt2194499,12000000,89309178,77309178,0.13436468981944946
tt1611224,67500000,137489730,69989730,0.4909457600942267
tt1610996,70000,8555,-61445,8.182349503214494
tt7501544,70000,8555,-61445,8.182349503214494
tt1137470,26000000,135436,-25864564,191.97259222067987
tt6063050,20000000,46627836,26627836,0.4289283337103613
tt1591479,12000000,82497035,70497035,0.1454597731906365
tt6495770,19000000,5103675,-13896325,3.7228075847306106
tt2205401,5000000,17499242,12499242,0.2857266617605494
tt3435418,5000000,17499242,12499242,0.2857266617605494
