movie_ID,genre_1,genre_2,genre_3
tt0063540,Action,Crime,Drama
tt0066787,Biography,Drama,
tt0069049,Drama,,
tt0069204,Comedy,Drama,
tt0100275,Comedy,Drama,Fantasy
tt0111414,Comedy,,
tt0112502,Horror,Thriller,
tt0137204,Adventure,Animation,Comedy
tt0139613,Documentary,History,
tt0144449,Biography,,
tt0146592,Drama,,
tt0154039,History,,
tt0159369,Documentary,,
tt0162942,Drama,,
tt0170651,Documentary,,
tt0176694,Animation,Drama,History
tt0192528,Drama,,
tt0230212,Drama,,
tt0247643,Drama,Mystery,
tt0249516,Action,Animation,Comedy
tt0250404,Crime,Drama,
tt0255820,Biography,Comedy,Drama
tt0262218,Documentary,,
tt0262759,Documentary,,
tt0263814,Drama,,
tt0276568,Action,Drama,
tt0277964,Documentary,History,
tt0283440,Sci-Fi,,
tt0285252,Comedy,,
tt0285423,Documentary,,
tt0293069,Thriller,,
tt0293429,Action,Adventure,Fantasy
tt0297400,Crime,Drama,
tt0311448,Drama,Romance,
tt0312305,Adventure,Animation,Sci-Fi
tt0315642,Action,Crime,Drama
tt0323808,Drama,Horror,
tt0326965,Drama,Mystery,Thriller
tt0328810,Drama,Family,
tt0329539,Adventure,Comedy,Romance
tt0331312,Comedy,Drama,
tt0331314,Adventure,Animation,Comedy
tt0337692,Adventure,Drama,Romance
tt0337882,Comedy,Crime,Drama
tt0337926,Biography,,
tt0339736,Horror,,
tt0346045,Comedy,Drama,
tt0357717,Drama,,
tt0359950,Adventure,Comedy,Drama
tt0360556,Drama,Sci-Fi,Thriller
tt0364201,Action,,
tt0365545,Comedy,Drama,Romance
tt0365907,Action,Crime,Drama
tt0368133,Documentary,,
tt0369610,Action,Adventure,Sci-Fi
tt0372538,Action,Crime,Drama
tt0376136,Comedy,Drama,
tt0376479,Crime,Drama,
tt0377981,Adventure,Animation,Comedy
tt0378546,Crime,Drama,Thriller
tt0381957,Drama,,
tt0383010,Comedy,Family,
tt0385887,Crime,Drama,
tt0393049,Comedy,Drama,Romance
tt0396123,Drama,,
tt0398286,Adventure,Animation,Comedy
tt0400320,Adventure,,
tt0401729,Action,Adventure,Sci-Fi
tt0402887,Drama,,
tt0403645,Drama,History,War
tt0403935,Action,Thriller,
tt0404978,Comedy,Crime,
tt0406282,Drama,,
tt0407194,Comedy,Drama,
tt0409379,Crime,Drama,Thriller
tt0409847,Action,Sci-Fi,Thriller
tt0411951,Action,Crime,Drama
tt0417610,Fantasy,,
tt0417750,Documentary,,
tt0419692,Drama,Mystery,Sci-Fi
tt0420293,Biography,Drama,History
tt0423474,Action,Comedy,Crime
tt0424859,Drama,,
tt0425785,Drama,,
tt0426410,Documentary,,
tt0426566,Drama,,
tt0427152,Comedy,,
tt0427340,Action,Adventure,Drama
tt0427543,Drama,,
tt0429493,Action,Adventure,Thriller
tt0430524,Documentary,,
tt0431021,Horror,Mystery,Thriller
tt0432010,Comedy,,
tt0433035,Action,Drama,Family
tt0433397,Comedy,Drama,Music
tt0433533,Drama,Fantasy,Horror
tt0433787,Drama,,
tt0435651,Drama,Romance,Sci-Fi
tt0435761,Adventure,Animation,Comedy
tt0436230,Horror,Thriller,
tt0436782,Documentary,,
tt0437086,Action,Adventure,Sci-Fi
tt0437462,Adventure,Romance,
tt0438973,Biography,Drama,
tt0439724,Drama,Thriller,
tt0439801,Action,,
tt0441506,Documentary,,
tt0441779,Documentary,,
tt0441881,Action,Drama,War
tt0443272,Biography,Drama,History
