movie_ID,average_rating
tt10356526,8.3
tt10384606,8.9
tt1042974,6.4
tt1043726,4.2
tt1060240,6.5
tt1069246,6.2
tt1094666,7.0
tt1130982,6.4
tt1156528,7.2
tt1161457,4.2
tt1171222,5.1
tt1174693,5.8
tt1181840,7.0
tt1199588,5.5
tt1210166,7.6
tt1212419,6.5
tt1220911,5.0
tt1229238,7.4
tt1232829,7.2
tt1235548,6.6
tt1243974,5.4
tt1250861,6.2
tt1258812,4.0
tt1261945,4.4
tt1266037,7.0
tt1270291,5.8
tt1270761,5.6
tt1272886,6.1
tt1274297,5.4
tt1283887,5.4
tt1285219,3.4
tt1287879,7.7
tt1294141,4.5
tt1320239,6.2
tt1322312,6.3
tt1323962,5.1
tt1325014,6.7
tt1325019,7.2
tt1326743,8.4
tt1328913,5.2
tt1331329,3.6
tt1332570,2.1
tt1343110,2.5
tt1343740,4.6
tt1352393,7.7
tt1360829,5.0
tt1368858,5.4
tt1374988,6.1
tt1376213,5.4
tt1378667,7.5
tt1379736,5.7
tt1381418,5.4
tt1400515,3.5
tt1403981,7.1
tt1403990,8.5
tt1404830,5.3
tt1409015,8.2
tt1417086,7.5
tt1418760,6.4
tt1420547,6.1
tt1422020,7.0
tt1426385,4.9
tt1428464,6.4
tt1438493,6.3
tt1443518,5.5
tt1447483,6.9
tt1450750,8.6
tt1456110,6.5
tt1460739,7.3
tt1460743,6.9
tt1465505,6.4
tt1465519,4.7
tt1467290,6.3
tt1468387,6.5
tt1474456,3.2
tt1478277,2.6
tt1479320,5.6
tt1480670,5.2
tt1486670,4.7
tt1488109,8.2
tt1492849,5.2
tt1494611,7.3
tt1499658,6.9
tt1508689,4.7
tt1510989,3.9
tt1512098,5.9
tt1512102,5.9
tt1512893,3.4
tt1515069,8.3
tt1515208,6.3
tt1516577,5.3
tt1516595,4.4
tt1517225,7.4
tt1517605,8.7
tt1521782,6.8
tt1527710,7.7
tt1527821,6.1
tt1528274,7.8
tt1534084,4.5
tt1535109,7.8
tt1535491,7.0
tt1535611,6.8
tt1537385,8.0
tt1538545,5.8
tt1538833,7.2
tt1538988,7.1
tt1539042,5.5
tt1539491,5.6
tt1540074,7.9
tt1545489,4.9
tt1549572,7.0
tt1555056,6.8
tt1555187,2.0
tt1558741,5.1
tt1559035,7.5
tt1562295,7.0
tt1563121,3.7
tt1564368,4.7
tt1564870,5.6
tt1569505,6.1
tt1570962,5.8
tt1571416,7.9
tt1575695,6.9
tt1580346,6.9
tt1582507,5.6
tt1582546,7.4
tt1583743,7.3
tt1584131,3.7
tt1584146,3.4
tt1587699,7.0
tt1592528,5.9
tt1592531,5.9
tt1593726,5.8
tt1595379,7.4
tt1595637,2.4
tt1600197,3.0
tt1603379,3.5
tt1604709,5.1
tt1606215,5.6
tt1606706,7.3
tt1608246,8.0
tt1608290,4.7
tt1608345,8.4
tt1609150,5.4
tt1611878,7.8
tt1612608,5.8
tt1615477,6.8
tt1615840,6.6
tt1615902,5.4
tt1618467,7.5
tt1620785,7.1
tt1624411,5.6
tt1625155,7.4
tt1628043,5.4
tt1629739,7.3
tt1629757,7.2
tt1630311,4.8
tt1630607,3.5
tt1633248,5.7
tt1633334,8.4
tt1635429,5.7
tt1639427,6.3
tt1640219,2.8
tt1640484,5.7
tt1642248,5.6
tt1645141,5.8
tt1647446,5.5
tt1650516,3.4
tt1650533,7.4
tt1655416,6.2
tt1655420,7.0
tt1659253,6.5
tt1659343,5.1
tt1660393,5.7
tt1661420,7.3
tt1662557,7.4
tt1662615,7.0
tt1662634,7.2
tt1663202,8.0
tt1664837,8.3
tt1667417,3.7
tt1668191,7.5
tt1671494,5.6
tt1671509,6.8
tt1671513,7.8
tt1671714,7.1
tt1671728,8.5
tt1673732,8.0
tt1674746,6.6
tt1678037,4.4
tt1678052,5.2
tt1679290,6.1
tt1680045,6.2
tt1681370,5.3
tt1682178,6.9
tt1683040,6.5
tt1683919,4.3
tt1686326,4.8
tt1693106,5.8
tt1695793,5.8
tt1701202,7.6
tt1702016,4.2
tt1703923,6.0
tt1703958,5.8
tt1705877,6.6
tt1706450,6.6
tt1709653,5.6
tt1709657,8.1
tt1709714,6.7
tt1714206,7.1
tt1715352,2.9
tt1717690,6.5
tt1719496,6.4
tt1719671,6.9
tt1720161,6.4
tt1720293,6.4
tt1721131,6.4
tt1721494,6.1
tt1721680,6.9
tt1725995,7.6
tt1726589,5.6
tt1726661,5.2
tt1727519,4.1
tt1728196,7.4
tt1728217,4.6
tt1728986,5.5
tt1729218,6.0
tt1729659,7.7
tt1733578,3.8
tt1734163,7.5
tt1735350,4.2
tt1735485,5.9
tt1735495,6.9
tt1737724,6.1
