movie_ID,average_rating
tt3526286,3.3
tt6540984,4.3
tt2075318,5.3
tt2106284,6.8
tt1811293,5.3
tt2630898,7.1
tt4370922,6.8
tt2518788,7.4
tt4685428,4.8
tt2388856,5.8
tt1179933,6.9
tt3397754,5.9
tt3488056,4.1
tt2538128,3.5
tt2297108,4.4
tt2990126,6.2
tt2990126,6.2
tt6210996,5.2
tt1712159,4.3
tt2139521,3.0
tt2325491,4.9
tt5143226,5.3
tt2317524,5.5
tt3957956,5.0
tt1413492,5.6
tt2024544,7.9
tt2313780,2.1
tt1542344,7.0
tt0798817,5.7
tt2082152,4.6
tt2059171,6.3
tt2991516,3.7
tt5895028,8.1
tt1442571,6.6
tt7476438,5.5
tt4427076,7.2
tt1860152,5.5
tt1909270,5.3
tt1946269,5.3
tt1772230,5.5
tt6214928,5.9
tt5815492,7.1
tt6411590,6.5
tt2833074,6.9
tt1602472,5.6
tt1272878,6.5
tt2372678,6.7
tt5080556,6.3
tt2396566,7.4
tt2516610,2.4
tt2920540,7.2
tt0858411,4.0
tt2247692,4.4
tt4575328,4.9
tt4385888,7.4
tt4385888,7.4
tt1711425,5.7
tt1232829,6.8
tt3657420,6.6
tt4976192,5.2
tt1167638,6.5
tt7280898,7.2
tt2294449,6.9
tt2304459,6.5
tt4261326,2.6
tt5442456,5.6
tt5369484,6.9
tt1618368,6.4
tt7490256,6.2
tt2124074,6.0
tt1131724,5.8
tt2172934,6.1
tt1825784,4.7
tt2123884,4.9
tt1718998,5.4
tt1772271,5.5
tt1365048,4.9
tt1622547,5.6
tt1253863,6.0
tt1667355,6.9
tt3835080,5.2
tt1652287,5.2
tt2217895,5.7
tt2260850,7.6
tt2439946,3.0
tt0453562,7.0
tt3544082,6.5
tt2932536,5.6
tt1335975,6.0
tt4510398,4.3
tt1486193,5.7
tt2486678,7.2
tt1777595,6.2
tt1306980,7.1
tt2518848,3.0
tt1629439,4.3
tt3165632,4.9
tt6142496,6.0
tt5503688,5.6
tt1975249,5.9
tt4703048,5.9
tt2178915,4.4
tt3550902,4.8
tt3799372,5.4
tt2676710,3.1
tt5189894,5.0
tt5517438,6.4
tt1988781,3.4
tt3488184,5.2
tt5466186,5.8
tt2828954,5.6
tt4424722,4.8
tt3465074,5.3
tt1484522,6.2
tt4917224,4.8
tt4337690,5.3
tt1641385,5.6
tt2891174,6.8
tt2891174,6.8
tt5212918,6.7
tt6359956,6.3
tt6359956,6.3
tt1509787,6.2
tt4504040,6.1
tt2800050,6.9
tt1554091,7.1
tt2027265,7.1
tt2056771,6.2
tt2056771,6.2
tt0448022,6.0
tt1582465,6.3
tt1401621,6.5
tt3219678,5.9
tt1740053,5.3
tt1692235,5.2
tt1817081,5.5
tt3688406,5.6
tt7608418,6.7
tt8709036,6.3
tt2328727,4.6
tt2104837,6.0
tt9282616,6.6
tt1571222,6.3
tt2083379,5.5
tt1753383,7.2
tt3991066,5.9
tt8075202,5.7
tt3762974,7.7
tt1640711,5.8
tt1568923,7.0
tt5566790,6.6
tt1741542,6.8
tt6265828,7.0
tt2523832,7.3
tt2523832,7.3
tt2326554,6.8
tt1606378,5.2
tt2180994,5.3
